# wavelength  elem  eqw 
 4031.960   FeI   134.778 
 4032.395   FeI    46.385 
 4032.447   FeI   118.955 
 4032.460   FeI   124.939 
 4032.630   FeI   214.583 
 4032.669   FeI    68.598 
 4032.849    VI    33.271 
 4032.976   GaI   123.067 
 4033.020   CoI    84.404 
 4033.022  TbII    47.153 
 4033.044   MnI   680.397 
 4033.046   MnI   308.787 
 4033.057   MnI   308.788 
 4033.059   MnI   510.617 
 4033.060   MnI   357.621 
 4033.069   MnI   357.622 
 4033.070   MnI   364.806 
 4033.072   MnI   359.313 
 4033.078   MnI   359.314 
 4033.079   MnI   251.480 
 4033.080   MnI   327.154 
 4033.084   MnI   327.155 
 4033.085   MnI   263.954 
 4033.085   MnI   174.430 
 4033.088   MnI   263.955 
 4033.188   FeI   121.235 
 4033.258   CrI    87.301 
 4033.583   MnI    87.063 
 4033.653   MnI    81.621 
 4033.830  PrII    33.896 
 4033.880   TiI    51.251 
 4034.010  NdII    56.585 
 4034.081    VI    33.207 
 4034.090  ZrII    42.959 
 4034.117   FeI    43.789 
 4034.270   FeI    72.784 
 4034.469   MnI   591.144 
 4034.471   MnI   298.904 
 4034.473   MnI   172.461 
 4034.484   MnI   470.923 
 4034.485   MnI   339.665 
 4034.486   MnI   203.644 
 4034.494   MnI   358.469 
 4034.496   MnI   333.243 
 4034.496   MnI   224.606 
 4034.502   MnI   254.820 
 4034.503   MnI   291.587 
 4034.503   MnI   231.057 
 4034.736    VI    42.039 
 4034.894   TiI    40.179 
 4035.244   FeI    58.705 
 4035.535   CoI    74.974 
 4035.606   VII    95.857 
 4035.732   MnI   184.110 
 4035.828   TiI    85.340 
 4035.886   ZrI    36.931 
 4035.980   FeI    33.026 
 4036.370   FeI    70.690 
 4036.563   FeI    60.162 
 4036.780   VII    79.097 
 4037.115   FeI    68.213 
 4037.130   FeI    54.346 
 4037.282   CrI    81.531 
 4037.323  GdII    40.448 
 4037.330  GdII    39.468 
 4037.662  CeII    35.496 
 4037.670  CeII    64.949 
 4037.725   FeI    60.366 
 4038.455  PrII    32.672 
 4038.617   FeI    72.734 
 4038.730   MnI    33.473 
 4038.770   CrI    38.324 
 4038.785   TiI   104.375 
 4038.789   FeI    71.149 
 4038.800   FeI    76.850 
 4038.827   CrI    72.459 
 4039.035   NiI    69.622 
 4039.100   CrI    82.099 
